序号,省类型,省,适宜性均值
1,直辖市,北京市,0.4947
2,直辖市,天津市,0.6196
3,省,河北省,0.41
4,省,山西省,0.4187
5,自治区,内蒙古自治区,0.1028
6,省,辽宁省,0.4288
7,省,吉林省,0.3487
8,省,黑龙江省,0.2072
9,直辖市,上海市,0.5795
10,省,浙江省,0.4559
11,省,安徽省,0.5246
12,省,福建省,0.3855
13,省,江西省,0.3777
14,省,山东省,0.4847
15,省,河南省,0.412
16,省,湖北省,0.487
17,省,湖南省,0.4073
18,省,广东省,0.3733
19,自治区,广西壮族自治区,0.3256
20,省,海南省,0.4459
21,直辖市,重庆市,0.4708
22,省,四川省,0.2369
23,省,贵州省,0.4231
24,省,云南省,0.2538
25,自治区,西藏自治区,0.0589
26,省,陕西省,0.4123
27,省,甘肃省,0.1829
28,省,青海省,0.0533
29,自治区,宁夏回族自治区,0.3545
30,自治区,新疆维吾尔自治区,0.0614
31,省,台湾省,0.27
32,特别行政区,香港特别行政区,0.2798
33,特别行政区,澳门特别行政区,0.3115
34,省,江苏省,0.5638
